MenuIngredientID,MenuID,IngredientID,MeasurementID,Quantity
100,797,129,1,77.11
101,44,310,3,172.17
102,869,312,4,279.03
103,152,741,5,70.92
104,56,843,1,46.72
105,755,896,3,36.46
106,798,118,2,221.48
107,473,342,4,259.97
108,542,724,5,120.52
109,339,597,3,190.26
110,860,483,1,168.84
111,441,995,1,277.2
112,625,224,1,82.02
113,370,566,3,60.8
114,713,336,4,119.43
115,87,75,2,280.69
116,564,380,1,266.08
117,304,912,2,61.2
118,418,162,2,14.88
119,255,200,3,139.97
120,188,272,4,66.33
121,111,20,3,73.44
122,462,732,5,127.63
123,760,710,4,235.52
124,554,852,1,14.64
125,811,924,3,214.67
126,919,145,5,258.8
127,391,772,5,287.98
128,157,908,1,195.76
129,996,499,4,267.33
130,66,477,3,60.56
131,39,310,2,253.23
132,60,159,2,163.29
133,811,855,3,284.44
134,168,166,5,184.8
135,288,433,4,104.81
136,460,770,3,220.3
137,772,945,2,63.7
138,137,533,2,188.96
139,240,10,2,9.79
140,339,411,5,297.49
141,221,210,1,72.77
142,225,203,3,125.45
143,452,70,1,202.75
144,439,803,4,112.73
145,836,11,4,257.49
146,146,795,4,184.85
147,356,769,3,78.49
148,767,59,2,87.01
149,380,216,1,28.08
150,926,178,2,221.74
151,570,789,3,245.74
152,175,241,1,68.95
153,734,940,2,18.77
154,554,304,4,25.09
155,996,819,5,243.8
156,817,940,1,31.81
157,735,167,2,200.27
158,136,300,1,264.92
159,60,450,4,275.31
160,266,677,5,141.46
161,795,982,1,250.35
162,488,658,4,99.73
163,267,424,1,188.58
164,853,616,2,278.07
165,52,396,3,193.75
166,233,550,4,50.46
167,694,481,2,105.15
168,894,954,1,58.06
169,325,614,1,241.79
170,599,801,3,118.66
171,777,547,3,215.22
172,937,520,2,284.41
173,498,256,2,138.15
174,788,964,1,239.36
175,103,134,1,30.36
176,49,123,5,140.08
177,526,43,2,210.58
178,705,567,4,243.17
179,761,629,1,202.53
180,913,1000,1,139.05
181,51,884,4,90.95
182,37,818,2,181.49
183,361,107,5,291.63
184,633,258,3,57.57
185,326,753,1,150.73
186,177,180,2,272.07
187,969,398,3,78.68
188,571,466,2,53.25
189,370,878,3,49.15
190,116,385,2,116.18
191,329,702,3,179.38
192,662,392,2,273.09
193,758,754,1,209.25
194,837,201,2,292.97
195,302,310,4,263.78
196,854,19,3,153.15
197,532,512,5,181.77
198,945,339,1,84.93
199,22,824,2,8.05
200,384,629,4,230.96
201,701,358,1,185.56
202,896,321,2,237.47
203,459,509,3,189.05
204,926,187,4,131.01
205,674,215,2,284.55
206,613,759,3,127.16
207,275,190,4,276.78
208,486,327,2,52.21
209,368,581,2,10.17
210,83,908,4,108.04
211,86,146,5,44.48
212,670,378,5,218.91
213,162,155,5,89.32
214,74,331,4,69.42
215,156,606,3,98.16
216,681,718,5,123.66
217,447,251,4,202.17
218,832,158,4,55.85
219,638,741,3,200.9
220,977,185,1,132.28
221,78,344,3,188.93
222,28,662,5,105.19
223,200,210,1,70.8
224,552,779,1,17.86
225,588,548,2,212.79
226,161,66,1,57.15
227,156,97,2,235.72
228,382,768,3,155.85
229,934,905,1,214.81
230,552,158,4,165.31
231,549,512,4,92.9
232,9,107,5,37.37
233,335,269,5,163.48
234,399,317,3,226.27
235,858,857,1,17.56
236,398,182,5,278.78
237,938,955,4,135.46
238,538,492,2,250.41
239,534,336,4,193.15
240,289,969,4,225.94
241,794,764,1,180.76
242,742,133,2,92.38
243,185,115,5,46.57
244,953,447,2,57.82
245,198,188,1,95.16
246,66,47,3,53.11
247,260,545,2,239.77
248,116,289,4,281.61
249,940,902,5,232.88
250,717,887,1,31.56
251,884,630,4,50.26
252,779,417,5,184.78
253,628,285,5,208.74
254,99,668,2,156.54
255,204,114,5,10.87
256,225,897,4,129.56
257,22,756,2,213.34
258,64,6,3,281.19
259,766,166,5,104.31
260,558,406,2,262.53
261,4,330,1,101.36
262,184,277,2,266.46
263,921,241,5,214.39
264,958,364,5,208.29
265,948,428,5,55.42
266,798,579,5,23.42
267,462,408,5,210.76
268,168,843,4,228.1
269,956,250,2,57.31
270,570,911,2,265.19
271,514,625,4,203.59
272,904,983,2,68.27
273,496,418,1,154.17
274,651,117,5,274.35
275,769,848,4,57.22
276,466,108,2,133.05
277,313,989,1,5.24
278,77,195,2,200.83
279,811,161,2,270.52
280,735,624,2,34.25
281,554,870,5,220.67
282,230,358,2,141.02
283,615,746,1,160.86
284,334,726,1,124.79
285,918,494,4,118.76
286,667,45,4,227.88
287,741,380,5,54.28
288,651,921,5,159.18
289,877,670,3,77.97
290,77,637,2,142.79
291,456,980,4,39.45
292,941,516,1,108.94
293,608,430,5,256.7
294,659,253,5,209.37
295,359,677,4,57.57
296,692,18,2,211.94
297,386,378,4,162.49
298,783,175,5,261.61
299,589,850,1,45.82
300,459,210,3,186.94
301,608,580,2,106.31
302,229,617,3,202.99
303,644,652,1,230.38
304,756,306,2,175.9
305,623,24,4,84.09
306,487,147,5,126.54
307,605,312,1,230.52
308,588,634,4,147.91
309,576,4,5,235.64
310,469,315,4,80.2
311,361,703,5,255.93
312,292,416,3,27.2
313,522,199,5,241.58
314,868,310,1,126.23
315,249,296,4,158.1
316,646,352,2,122.61
317,596,550,5,36.51
318,390,300,5,162.44
319,272,297,3,7.91
320,620,171,5,242.83
321,897,11,3,289.63
322,122,856,1,53.39
323,143,985,4,16.53
324,410,297,5,182.54
325,63,19,5,57.85
326,548,854,3,110.78
327,107,789,2,5.16
328,899,553,5,168.89
329,896,682,1,102.31
330,313,683,5,167.56
331,634,610,4,82.26
332,876,762,1,168.23
333,426,887,2,9.3
334,948,984,4,237.55
335,938,14,1,5.19
336,48,696,3,217.46
337,779,696,4,35.04
338,910,891,5,109.99
339,209,18,3,119.28
340,100,572,3,231.34
341,197,846,4,293.73
342,681,865,3,132.44
343,584,54,5,229.55
344,936,739,1,197.82
345,544,484,2,127.26
346,659,823,1,14.21
347,647,769,2,131.18
348,910,705,1,19.04
349,278,941,3,94.39
350,993,259,2,182.43
351,961,45,4,147.76
352,682,352,4,169.79
353,952,411,3,53.63
354,963,40,4,46.82
355,797,130,1,100.46
356,353,626,5,133.68
357,490,141,3,280.07
358,787,183,2,281.99
359,186,128,5,7.33
360,242,221,3,134.68
361,31,265,4,95.65
362,923,399,3,164.65
363,702,805,3,114.85
364,229,616,4,101.25
365,99,869,2,162.64
366,321,7,4,249.98
367,993,141,3,103.24
368,357,224,1,54.04
369,849,883,5,21.63
370,759,256,4,42.68
371,190,970,1,279.5
372,70,952,4,74.86
373,798,656,2,191.83
374,475,507,2,130.55
375,278,549,5,220.79
376,633,355,5,99.69
377,692,329,5,100.79
378,186,599,3,55.24
379,862,355,2,215.28
380,321,104,4,39.12
381,515,336,4,113.63
382,87,460,1,21.15
383,939,54,5,256.25
384,49,372,3,181.79
385,265,459,4,95.64
386,483,236,3,193.4
387,366,791,2,92.78
388,895,542,3,38.08
389,809,865,4,40.13
390,595,308,5,140.54
391,267,297,5,64.94
392,342,237,4,155.61
393,32,228,2,41.82
394,223,432,1,262.78
395,71,705,2,75.7
396,660,534,5,294.22
397,438,959,1,156.33
398,519,548,2,244.57
399,571,70,3,239.35
400,492,557,4,62.91
401,293,848,5,133.26
402,324,701,1,97.47
403,126,456,3,125.54
404,852,677,2,278.34
405,747,232,4,244.59
406,804,525,1,34.95
407,579,885,1,110.09
408,703,490,2,91.3
409,891,391,4,30.85
410,491,454,4,280.39
411,607,829,4,178.71
412,67,318,2,66.92
413,406,140,5,183.36
414,264,910,4,190.59
415,441,269,3,20.53
416,602,589,5,238.14
417,707,38,1,19.23
418,610,568,3,146.51
419,592,18,5,272.25
420,853,954,3,53.3
421,722,88,5,180.36
422,680,535,3,271.86
423,175,667,3,120.01
424,754,961,5,234.06
425,305,635,5,218.64
426,597,380,4,55.36
427,933,898,3,248.05
428,912,503,3,192.36
429,585,357,5,42.29
430,531,760,1,253.56
431,53,184,2,26.08
432,764,598,4,220.68
433,624,677,1,246.9
434,307,542,5,60.32
435,624,930,4,270.12
436,474,15,3,226.43
437,542,307,3,278.0
438,831,102,3,239.47
439,212,436,4,229.36
440,164,536,4,294.7
441,108,85,2,219.21
442,654,31,2,160.81
443,350,771,4,255.43
444,117,794,1,175.55
445,625,504,5,28.54
446,968,939,3,175.05
447,909,841,1,222.68
448,633,673,5,190.93
449,171,854,1,136.36
450,591,49,3,98.11
451,574,883,4,277.76
452,600,213,2,247.82
453,383,92,3,224.63
454,552,769,1,227.59
455,476,985,1,231.8
456,685,327,2,42.33
457,405,21,1,40.95
458,247,807,5,28.55
459,255,982,5,42.07
460,588,486,3,44.65
461,887,323,3,40.77
462,741,437,1,174.32
463,707,544,3,248.77
464,817,104,5,216.57
465,44,291,3,22.99
466,139,307,2,215.82
467,212,411,1,272.2
468,956,714,5,151.38
469,389,776,4,46.26
470,451,81,2,208.61
471,522,738,5,123.28
472,252,215,3,76.39
473,634,62,1,189.86
474,558,330,4,31.65
475,649,979,3,137.86
476,253,89,3,258.93
477,841,385,2,177.51
478,582,191,3,107.28
479,899,119,1,117.05
480,253,403,5,17.56
481,138,859,5,273.75
482,483,498,2,139.8
483,876,163,5,180.38
484,785,666,4,125.91
485,352,937,2,92.02
486,534,85,4,243.14
487,263,71,4,27.58
488,915,108,5,299.76
489,473,982,3,192.21
490,210,343,5,262.3
491,651,942,3,125.83
492,272,44,3,289.18
493,39,194,5,166.32
494,139,503,2,7.44
495,147,499,4,66.52
496,138,957,5,262.35
497,270,649,3,204.55
498,465,119,5,227.72
499,236,607,3,239.3
500,949,23,5,126.47
501,817,46,4,151.11
502,267,712,5,189.88
503,709,942,1,173.05
504,178,518,5,230.24
505,285,962,5,155.2
506,784,277,3,227.55
507,360,115,2,250.19
508,786,337,5,225.84
509,465,140,4,41.37
510,273,910,2,11.28
511,992,436,5,288.16
512,123,808,1,228.48
513,860,853,3,233.82
514,785,849,1,64.91
515,970,214,5,153.64
516,536,923,1,154.64
517,211,562,4,135.74
518,766,368,5,70.62
519,240,220,4,88.77
520,487,461,1,249.67
521,97,239,1,183.49
522,638,936,1,282.91
523,358,198,5,248.64
524,895,430,1,59.96
525,131,406,2,107.86
526,807,171,1,277.53
527,70,671,2,259.4
528,239,916,1,185.31
529,742,669,3,137.81
530,138,8,3,228.6
531,68,21,1,213.65
532,507,707,5,252.47
533,279,103,5,68.45
534,278,381,2,252.86
535,659,78,1,188.31
536,732,631,3,34.14
537,650,946,2,47.54
538,284,558,4,13.31
539,748,754,5,145.03
540,763,400,3,260.34
541,589,417,2,59.08
542,383,81,4,253.38
543,813,148,2,90.44
544,272,853,2,55.86
545,103,111,5,249.39
546,53,37,2,95.12
547,539,442,1,207.82
548,221,52,4,8.54
549,560,409,4,209.87
550,174,58,2,234.82
551,33,609,3,234.93
552,243,401,4,217.83
553,72,585,3,63.0
554,982,557,5,14.2
555,348,477,4,183.45
556,31,62,1,151.01
557,140,342,5,289.88
558,27,818,4,68.78
559,473,92,2,227.03
560,36,671,4,55.64
561,96,112,2,164.46
562,390,580,1,224.26
563,484,906,1,198.25
564,508,146,2,40.39
565,824,844,3,98.28
566,945,727,3,224.33
567,812,115,4,37.73
568,172,561,1,144.82
569,7,466,3,95.39
570,417,56,2,248.39
571,778,309,3,257.76
572,954,925,2,59.18
573,148,96,4,9.54
574,351,186,2,273.85
575,277,774,1,46.87
576,751,936,1,177.09
577,313,760,4,240.36
578,486,905,2,115.87
579,24,214,2,129.1
580,641,362,3,32.84
581,946,134,4,125.65
582,668,477,5,246.41
583,738,571,1,291.3
584,694,138,3,284.67
585,848,709,3,177.38
586,360,115,4,15.93
587,109,109,5,201.89
588,328,979,5,176.53
589,862,94,2,242.6
590,554,902,4,298.04
591,720,293,5,241.69
592,907,424,3,146.3
593,439,811,5,203.97
594,130,220,4,116.91
595,61,930,1,152.56
596,276,320,4,81.35
597,524,768,2,134.3
598,674,571,1,293.13
599,113,586,1,149.76
600,635,867,5,43.54
601,448,308,1,19.85
602,585,755,5,280.32
603,787,916,2,120.95
604,986,748,2,250.91
605,805,334,2,87.19
606,276,523,4,84.77
607,968,974,1,153.73
608,121,230,5,289.81
609,421,327,3,132.35
610,152,732,1,54.61
611,171,205,4,207.46
612,761,152,1,110.99
613,337,2,2,229.6
614,3,63,1,10.36
615,532,386,2,239.02
616,762,732,4,138.76
617,608,114,5,6.42
618,529,534,5,231.59
619,582,93,1,79.38
620,416,818,1,11.83
621,978,877,1,118.42
622,772,760,2,247.02
623,143,702,4,64.45
624,468,760,5,203.61
625,968,792,5,219.39
626,758,734,5,18.2
627,10,555,3,93.56
628,863,974,1,283.13
629,888,932,5,130.45
630,265,398,2,16.99
631,24,944,5,245.7
632,996,604,5,86.81
633,225,256,4,40.03
634,100,741,2,286.16
635,85,952,1,159.4
636,88,326,1,200.34
637,569,662,3,209.82
638,338,514,2,228.97
639,986,825,3,49.27
640,19,194,3,242.45
641,681,13,1,112.09
642,332,781,2,86.93
643,421,31,4,99.89
644,967,589,5,181.18
645,291,596,3,259.65
646,443,453,2,216.25
647,98,60,5,45.69
648,903,660,1,243.98
649,724,789,5,273.52
650,706,520,2,276.59
651,669,228,5,136.79
652,945,786,3,290.6
653,153,985,4,46.52
654,544,355,5,266.74
655,509,269,3,271.93
656,479,233,3,192.97
657,198,422,3,52.13
658,953,228,3,298.75
659,18,9,3,30.72
660,635,97,5,285.37
661,565,719,3,36.62
662,119,704,4,281.79
663,644,181,3,107.06
664,19,294,4,38.75
665,33,63,4,182.48
666,225,57,3,130.81
667,25,56,1,42.7
668,249,535,2,140.19
669,31,92,2,64.15
670,926,131,5,221.83
671,948,643,4,25.25
672,92,129,1,198.18
673,271,970,5,216.02
674,12,510,4,133.39
675,333,230,3,97.06
676,743,48,3,198.25
677,916,148,4,128.59
678,225,873,3,117.93
679,990,26,1,188.5
680,341,243,1,112.96
681,737,762,2,289.39
682,317,504,2,81.54
683,359,572,4,29.51
684,420,548,2,53.14
685,326,776,1,226.09
686,130,846,4,202.11
687,188,404,4,296.13
688,522,402,4,212.56
689,397,958,3,279.91
690,802,410,2,257.5
691,283,79,5,264.4
692,906,419,5,135.39
693,877,865,3,238.08
694,301,485,4,249.81
695,679,164,5,22.73
696,213,371,1,15.77
697,999,956,1,242.85
698,311,513,5,147.59
699,309,997,2,42.04
700,321,885,3,244.45
701,315,55,3,219.19
702,900,757,4,166.57
703,971,114,2,30.63
704,810,653,4,253.83
705,620,756,3,53.27
706,263,589,2,10.07
707,410,676,3,241.3
708,659,839,1,231.09
709,104,687,5,150.45
710,201,560,5,28.69
711,151,475,2,5.74
712,685,440,2,95.48
713,346,694,5,237.74
714,513,896,5,242.86
715,742,67,5,157.46
716,601,821,4,163.37
717,415,415,3,260.52
718,19,356,1,245.88
719,45,187,1,52.49
720,900,380,3,62.84
721,768,286,1,241.63
722,191,254,1,39.95
723,412,53,3,185.33
724,974,541,4,6.24
725,969,246,4,46.97
726,731,748,5,118.59
727,60,208,2,23.43
728,716,207,1,180.43
729,564,848,5,188.75
730,935,981,1,28.65
731,827,283,1,281.82
732,215,305,4,244.92
733,247,110,4,225.52
734,604,843,4,229.77
735,569,425,1,235.3
736,108,906,4,265.81
737,160,779,3,206.7
738,632,770,1,217.92
739,265,101,5,196.16
740,866,652,4,247.34
741,337,889,3,276.77
742,644,124,1,65.78
743,449,349,2,104.62
744,170,724,1,11.68
745,945,171,5,160.9
746,889,858,4,159.16
747,4,483,2,234.92
748,614,779,1,215.94
749,480,115,4,36.21
750,29,566,5,37.77
751,631,482,2,43.28
752,208,694,5,264.34
753,603,649,4,79.14
754,503,794,1,162.96
755,497,347,2,16.89
756,900,430,5,259.67
757,922,925,1,58.71
758,294,561,1,203.75
759,734,563,3,236.39
760,477,888,5,14.29
761,174,667,3,202.39
762,301,199,2,67.92
763,405,988,2,52.87
764,845,125,4,177.6
765,809,394,5,202.32
766,392,565,3,254.84
767,266,408,4,10.88
768,821,454,3,24.56
769,635,707,1,77.54
770,871,937,3,210.61
771,963,899,2,31.39
772,57,754,1,252.43
773,917,306,2,119.58
774,5,492,1,69.19
775,373,48,5,231.22
776,915,801,2,88.21
777,217,720,1,187.9
778,887,228,5,45.4
779,555,876,3,153.5
780,226,25,1,93.92
781,110,757,4,182.2
782,829,77,1,98.34
783,235,48,2,34.78
784,934,73,4,145.5
785,374,782,5,296.8
786,716,298,4,215.31
787,251,237,5,259.44
788,239,318,5,31.76
789,4,334,1,246.95
790,902,780,3,274.06
791,431,266,2,149.72
792,840,828,5,237.24
793,877,983,1,99.42
794,253,566,3,99.68
795,784,937,1,45.36
796,789,79,4,272.74
797,338,827,1,44.53
798,607,382,5,151.84
799,101,350,3,81.58
800,386,875,1,229.92
801,832,613,4,52.43
802,752,393,1,50.28
803,806,300,4,228.72
804,863,379,3,129.74
805,474,480,2,15.82
806,67,453,1,13.06
807,209,63,5,141.83
808,371,394,3,227.64
809,493,545,2,146.94
810,741,63,2,33.82
811,326,315,2,161.37
812,795,191,4,92.47
813,75,861,3,153.46
814,333,723,4,203.16
815,393,52,2,170.97
816,341,266,4,207.15
817,413,152,4,59.85
818,529,854,3,299.12
819,460,427,4,78.95
820,11,457,4,206.54
821,148,490,1,258.6
822,724,212,3,66.43
823,562,991,4,145.39
824,709,142,3,183.1
825,224,915,5,132.22
826,517,856,4,184.18
827,417,918,1,240.21
828,530,941,5,298.13
829,606,696,2,57.03
830,711,343,3,234.34
831,266,7,3,237.52
832,704,538,5,232.74
833,486,205,5,128.35
834,86,980,3,180.87
835,461,440,3,234.07
836,322,197,3,126.39
837,60,755,4,152.56
838,903,475,4,214.65
839,353,261,2,133.72
840,79,601,1,76.17
841,801,540,3,48.41
842,186,489,2,258.79
843,768,858,2,139.36
844,212,185,1,213.32
845,180,967,2,147.23
846,109,780,1,251.6
847,851,380,4,130.65
848,124,992,4,36.45
849,169,59,3,51.5
850,905,557,3,38.64
851,275,858,5,124.22
852,567,239,1,115.57
853,963,107,4,286.83
854,9,213,5,257.66
855,184,192,1,270.05
856,765,424,5,239.44
857,15,98,3,59.39
858,408,276,4,249.5
859,63,433,5,12.46
860,74,462,4,265.64
861,778,20,2,242.84
862,83,410,2,136.47
863,798,41,3,207.15
864,964,34,3,177.07
865,214,190,4,251.36
866,188,260,3,116.14
867,230,874,1,259.59
868,452,164,5,87.2
869,455,444,2,275.18
870,6,553,2,287.58
871,34,760,4,228.09
872,333,267,1,51.1
873,359,631,5,246.2
874,564,333,1,211.17
875,225,756,5,71.34
876,474,718,2,297.44
877,506,185,5,259.05
878,164,917,5,39.77
879,397,228,3,197.4
880,306,999,5,246.05
881,61,129,4,216.97
882,464,405,3,248.1
883,465,884,2,168.12
884,312,365,2,178.49
885,272,639,5,115.22
886,464,741,1,154.17
887,560,446,3,245.74
888,429,767,4,298.15
889,772,423,1,55.05
890,559,11,1,171.69
891,863,865,2,180.53
892,170,191,1,271.71
893,796,846,3,265.22
894,244,635,1,87.45
895,556,587,1,177.51
896,178,921,2,107.81
897,198,254,2,56.13
898,981,172,2,110.47
899,42,158,3,272.23
900,825,340,3,256.78
901,61,117,5,266.0
902,232,346,3,101.93
903,736,700,1,71.68
904,415,595,5,244.88
905,828,574,3,210.07
906,214,639,2,227.74
907,252,198,2,91.89
908,253,404,2,179.67
909,136,8,5,12.86
910,578,765,5,299.95
911,237,126,2,250.34
912,808,276,3,31.69
913,901,594,1,136.08
914,342,770,5,120.88
915,930,896,5,182.34
916,138,975,1,39.78
917,249,991,4,123.44
918,78,493,4,96.15
919,381,285,2,24.34
920,16,394,2,180.61
921,888,275,1,172.08
922,924,459,3,188.53
923,816,101,5,44.07
924,406,458,1,212.38
925,103,494,3,73.48
926,411,132,4,257.22
927,281,485,3,49.59
928,874,521,4,79.3
929,106,919,2,211.86
930,912,636,4,40.54
931,829,785,2,12.8
932,585,608,2,199.65
933,901,546,3,98.04
934,141,277,1,61.36
935,723,109,1,109.38
936,236,881,3,109.61
937,326,97,3,66.92
938,791,143,1,176.66
939,108,307,2,201.53
940,51,530,4,148.11
941,606,473,2,81.97
942,620,998,2,115.44
943,760,258,2,50.23
944,96,514,5,74.7
945,839,261,3,211.62
946,553,811,1,179.26
947,754,950,1,94.24
948,556,495,4,17.23
949,505,650,4,249.71
950,204,985,2,264.79
951,776,175,5,178.92
952,572,441,3,33.11
953,894,633,1,53.95
954,479,734,5,201.33
955,984,444,3,21.91
956,533,342,5,236.75
957,368,753,5,161.47
958,850,757,5,55.68
959,794,329,4,214.63
960,490,139,4,237.62
961,19,758,5,83.51
962,494,129,5,234.78
963,372,313,2,259.37
964,653,896,3,222.45
965,83,805,5,120.58
966,569,163,2,59.15
967,359,9,1,162.32
968,362,747,4,54.56
969,905,308,4,55.77
970,422,194,5,229.34
971,902,185,1,31.74
972,969,174,2,77.48
973,281,90,3,173.07
974,180,609,1,237.48
975,621,720,4,121.35
976,852,711,4,16.73
977,420,409,1,82.37
978,851,914,3,249.27
979,54,986,5,111.59
980,199,190,1,145.78
981,292,663,1,10.54
982,238,630,1,19.72
983,779,87,5,69.78
984,380,782,2,163.93
985,182,138,2,92.87
986,475,96,1,285.14
987,228,392,1,209.97
988,430,989,1,279.87
989,148,473,4,199.43
990,329,410,3,123.07
991,946,702,4,250.13
992,57,486,4,261.74
993,401,289,2,214.07
994,731,962,3,8.05
995,587,334,2,141.59
996,205,278,4,31.59
997,846,436,2,257.93
998,690,114,2,295.0
999,908,203,4,38.83
1000,659,960,5,81.4
