RestaurantID,RestaurantName,PhoneNumber,NeighborhoodID,Address1,City,State1,Zip,RestaurantTypeID
83,Samuels Corner,(910)959-6567,5,7373 Shannon Shore Apt. 326,Warnerland,WY,62179,6
84,Sherris Diner,2395754621,7,633 Jason Plain Apt. 510,Port Willie,WV,09164,7
85,Gabrielles Table,001-624-483-590,8,54810 Torres Dam Suite 697,New Alecbury,NH,43158,6
86,Brians Pizza,+1-023-396-9413,2,81781 Patrick Plains Apt. 761,Franklinchester,WA,07824,3
87,Timothys Cafe,0578777614,6,29353 Lang Dam,Jonesburgh,MI,15801,2
88,Brittanys Tacos,001-971-651-631,16,2714 Graham Meadows Apt. 472,West Kendratown,AL,64045,6
89,Seans House,553-094-6800x40,13,777 Pena Hill Apt. 723,New Kennethberg,AR,24242,7
90,Samuels Corner,812-007-8655x03,10,2877 Gonzales Trail,Port Danielmouth,NE,63599,9
91,Seans House,536-551-6655x62,6,671 Stephen Ways,Beverlyhaven,MA,12587,2
92,Sherris Diner,(577)762-6854x0,1,04955 Wright Crossing,South Eric,OK,95846,9
93,Michaels Bistro,001-489-814-204,18,26296 Nicholas Inlet,West Jeremy,KY,59103,3
94,Sherris Diner,7725045987,13,39701 Steven Drives,Saraburgh,OR,32939,1
95,Johns Kitchen,+1-359-114-6000,11,4288 Bush Neck Apt. 763,East Austinberg,MS,01334,10
96,Johns Kitchen,308-374-1406,14,3704 Wolf Tunnel,Jesseburgh,NM,05265,7
97,Sherris Diner,+1-211-265-0905,16,4058 Oliver Track,East Jeffmouth,WI,55476,8
98,Brians Pizza,9172771724,12,50450 Cooper Roads,Port Mirandachester,GA,30952,10
99,Samuels Corner,(819)257-9406,13,70910 Alexandra Tunnel,Port Nicoleborough,SC,69787,1
100,Brittanys Tacos,8913183734,13,14077 Hill Rapid,Port Matthewview,OR,80178,5
101,Gabrielles Table,327-852-1700,3,8953 Johnson Stream Suite 674,North Brittany,MT,30055,3
102,Timothys Cafe,001-963-874-571,17,5985 Williams Valley Suite 071,New Jonathanshire,GA,77662,3
103,Brians Pizza,(377)967-6672,10,02038 Vazquez Rue Suite 930,Wilcoxside,OR,48249,8
104,Samuels Corner,326.632.0277x34,10,34611 Aguilar Key Apt. 985,West Robin,NJ,94999,2
105,Gabrielles Table,+1-412-622-7617,7,470 Santos Brooks,East Kristaburgh,MO,16264,2
106,Sherris Diner,+1-106-567-4845,18,7308 Keith Squares,West Amber,NC,37602,4
107,Sherris Diner,576.807.4891,13,8450 Shawn Crossroad,Ericborough,WY,75986,4
108,Seans House,023-680-8686,4,96144 Vanessa Ways Apt. 057,Port Davidchester,ME,30859,3
109,Brians Pizza,(997)615-7435,5,692 White Shoal Apt. 034,Johnsonmouth,UT,75973,3
110,Samuels Corner,(241)900-5210x4,11,69505 Marc Gateway,North Becky,MA,91005,9
111,Timothys Cafe,001-458-274-294,19,306 Henry Plain Apt. 218,West Carlyview,WA,80619,9
112,Brians Pizza,582.024.1006x35,2,9960 Rivers Lodge Apt. 027,West Dannyshire,MI,70753,10
113,Timothys Cafe,827-371-0528x37,10,84492 Newton Pike Suite 349,Josephberg,NV,91104,9
114,Johns Kitchen,(176)941-7021x6,15,24305 Phillips Mountains Suite 839,Samanthaberg,IN,59017,6
115,Gabrielles Table,001-473-455-285,6,4824 Malone Bypass Suite 960,Port Kimberly,NY,44127,8
116,Samuels Corner,418.470.6634,19,27019 Riggs Curve,Hostad,SD,31719,3
117,Sherris Diner,001-848-516-380,5,4810 Ricardo Inlet Suite 602,Williamfort,FL,61353,6
118,Johns Kitchen,7079369524,15,23885 Virginia Islands Suite 188,East Jasontown,IN,18268,5
119,Michaels Bistro,(411)316-1529,16,0652 Aguilar Place,Castanedaview,MI,32833,6
120,Gabrielles Table,+1-836-250-6765,10,879 Joseph Drive,Lake Nicholaschester,HI,15474,10
121,Gabrielles Table,469.481.8352,5,4683 John Pine,Deniseton,VT,53835,7
122,Johns Kitchen,(780)020-6029x0,7,38155 Hogan Extension Suite 540,East Jessicaton,RI,27122,1
123,Brittanys Tacos,+1-829-037-4940,7,0215 Alexander Path Suite 436,Perryfort,ID,55407,7
124,Timothys Cafe,272-525-3467,7,0413 Olivia Keys,South Daniel,AK,65528,4
125,Michaels Bistro,384.559.0582,1,0138 Danielle Inlet Apt. 100,Bryanthaven,NM,00666,4
126,Michaels Bistro,001-241-764-424,12,71866 Andrade Key,Carrieberg,KY,41015,10
127,Michaels Bistro,591-035-8863x15,19,402 Rodriguez Shores Apt. 382,Robertsshire,AZ,50185,10
128,Kyles Grill,(663)826-1172x2,4,718 Joshua Valleys,Port Darlenechester,TN,02090,2
129,Timothys Cafe,+1-311-301-1260,5,4823 Wade Manors,New Anthony,MT,92248,3
130,Michaels Bistro,(387)372-0564x7,13,6386 Brandon Throughway,South Stephen,HI,05189,10
131,Seans House,196.107.6801,14,59386 Hannah Loaf,Turnerchester,MS,84048,8
132,Seans House,(355)926-0511,6,26944 Elizabeth Gardens Apt. 269,Whiteview,MD,34540,2
133,Samuels Corner,731.770.1577,2,164 Donald Springs,Sheltonbury,NM,48465,1
134,Timothys Cafe,(827)210-4920,4,9295 Janice Ways Apt. 544,Charlesport,AL,38587,3
135,Samuels Corner,+1-986-159-5171,12,448 Bell Field,Youngfurt,MI,21883,5
136,Samuels Corner,+1-771-816-4358,16,068 Brooks Crescent Suite 517,Stevenport,ME,57982,9
137,Timothys Cafe,802-744-6882x05,6,0455 Catherine Loop Apt. 143,Campbelltown,IA,63133,2
138,Samuels Corner,+1-329-994-3496,2,461 Steve Valley,Lake Samanthafort,VT,82699,8
139,Brians Pizza,001-515-823-727,4,84154 Grace Junction,East Beverly,WA,65070,2
140,Brittanys Tacos,477-877-1037,17,0199 Palmer Grove,Greenberg,WI,11228,8
141,Timothys Cafe,169-961-9380x78,11,2428 John Landing Apt. 372,Arthurmouth,AK,76308,6
142,Sherris Diner,+1-612-817-8597,19,29370 Lowe Ways Apt. 391,Port Mandymouth,ME,05901,3
143,Kyles Grill,809-291-8645x65,14,31939 Cox Extension Suite 214,East Jackville,ME,68941,5
144,Seans House,(526)820-2186,5,34370 Reginald Wall,East Jesseburgh,AZ,09950,3
145,Johns Kitchen,099.065.7622,13,9526 Debbie Circles,Dianeshire,MN,08354,2
146,Seans House,314-766-7096x59,8,3102 Andrew Forest,West Paulborough,AZ,86663,5
147,Michaels Bistro,(835)867-7297x3,2,97349 Vega Prairie,North Tammy,AZ,58314,10
148,Johns Kitchen,(449)171-4961x8,4,455 Watson Park,East Daniel,WI,20392,6
149,Michaels Bistro,691-188-3237x54,8,501 Leon Shoals Suite 144,Calderonchester,SC,20073,6
150,Michaels Bistro,058-655-7532x72,13,73262 Dustin Circle,Taylorberg,UT,78182,2
151,Seans House,+1-795-792-0452,16,355 Brandon Fall,West Lauren,PA,41322,2
152,Samuels Corner,(277)948-7598,10,81362 Jillian Causeway,Port Briana,IN,40482,3
153,Michaels Bistro,+1-442-664-2521,20,799 Stone Bypass,Lake Sherry,ME,35817,8
154,Michaels Bistro,394-896-8829,6,79892 Michelle Fords Suite 689,Port Brandonhaven,MD,86052,5
155,Seans House,+1-436-106-3758,13,46203 Tiffany Track,Thomasville,OR,30105,8
156,Timothys Cafe,825.826.1968,3,35100 Stanley Walks Suite 785,East Sarahside,NY,73209,5
157,Brittanys Tacos,489.757.3123x38,15,07729 Martinez Pass Suite 207,Daleview,CT,64821,8
158,Michaels Bistro,749.490.6849x21,13,64469 Sullivan Hills Suite 740,Williamshaven,UT,97806,3
159,Brittanys Tacos,+1-597-639-3372,9,008 Padilla Drive Apt. 889,Andrewville,LA,65896,2
160,Sherris Diner,688.255.8799x05,15,4681 Burke Haven,Port Ginaburgh,DE,26525,10
161,Johns Kitchen,+1-307-602-9592,12,9195 Marc Circles,Gutierrezchester,ID,05938,8
162,Timothys Cafe,(016)106-9071,1,4008 Carol Corners Suite 573,Port Robertville,KS,45056,1
163,Johns Kitchen,954-128-9566x76,4,551 Cochran Gateway Suite 288,West Hayden,KS,43442,6
164,Kyles Grill,(265)996-7016,4,27721 Hammond Ports,Richardshire,SC,70603,5
165,Timothys Cafe,001-243-760-502,3,7796 Roberts Loop Suite 940,New Amytown,ID,22147,7
166,Johns Kitchen,366.879.4575,4,080 Jamie Crest Suite 620,East Robin,GA,91414,7
167,Gabrielles Table,360-406-3725x41,16,7203 Jensen Plains,Lake Michaelfort,NC,03324,10
168,Kyles Grill,536-123-1826x36,17,379 Cochran Prairie Suite 756,North Matthew,NV,97053,3
169,Sherris Diner,(283)607-8433x4,8,53513 Nguyen Harbors,Simston,NE,52494,8
170,Brians Pizza,+1-156-870-5865,1,8907 Kathryn Locks Suite 613,North Stacey,KY,84882,6
171,Seans House,711-769-7371x30,19,659 Hall Overpass,Lake Joelmouth,NM,52375,9
172,Michaels Bistro,001-951-042-089,19,52660 Zimmerman Fort Suite 069,Port Kristopher,MN,75138,10
173,Samuels Corner,+1-081-858-3513,19,32213 Baker Track,Elizabethfurt,WV,34535,6
174,Timothys Cafe,001-517-782-799,16,990 Ashley Ports,West Terri,UT,43644,6
175,Johns Kitchen,001-219-837-694,9,471 Cheyenne Hill,East Amberton,DE,93329,2
176,Johns Kitchen,443-092-6847x30,4,239 Johnson Pines Apt. 698,Coryfurt,IN,54944,7
177,Michaels Bistro,249.793.2738,19,2811 Lloyd Place Apt. 786,Beasleyborough,IN,94651,9
178,Michaels Bistro,+1-970-235-6599,6,737 Karl Road Apt. 256,Port Samantha,ME,65451,8
179,Brians Pizza,+1-192-445-5613,13,9628 Reed Glen Suite 595,Port Jenniferbury,ID,32580,5
180,Sherris Diner,984.160.6201,16,775 Smith Lock Apt. 614,New Deborah,SD,80885,1
181,Michaels Bistro,(750)547-8038,14,4850 Mary Cliff,Bettyborough,MA,99665,10
182,Brians Pizza,433.957.0680x44,10,5030 Melanie Stream Apt. 319,Barkerside,VT,82476,1
183,Sherris Diner,(913)191-1502x5,19,05108 Garrett Brooks Apt. 315,Brendaberg,VT,61967,4
184,Timothys Cafe,474-214-7319,5,8280 Dawn Spur Suite 544,Sylviaville,CO,13079,9
185,Gabrielles Table,+1-694-570-5473,4,717 Joseph Villages Suite 265,New Daniel,SC,11842,1
186,Michaels Bistro,692-342-6666x19,11,080 Ashlee Station Apt. 725,New John,AR,50757,3
187,Sherris Diner,2461258566,3,481 Robert Stream Suite 602,Adamchester,AL,12826,2
188,Michaels Bistro,469-944-4235,18,6041 Donna Falls Suite 777,North Stephaniefurt,IL,22035,5
189,Johns Kitchen,001-536-796-540,6,963 Juarez Lights,Gonzalezville,GA,08170,7
190,Sherris Diner,001-515-556-520,13,969 White Walk,South Karl,WA,25758,3
191,Brians Pizza,001-888-671-380,1,51840 Lindsey Crossroad Suite 711,Judithburgh,ND,49998,10
192,Kyles Grill,+1-340-887-6124,13,0576 Leslie Harbors Apt. 162,Lake Karenside,PA,37575,7
193,Johns Kitchen,330-319-8376x17,18,886 Chan Locks Apt. 239,New Dawn,WI,72122,2
194,Sherris Diner,(815)778-4553x8,18,01721 Peck Hills Suite 608,Garciashire,MO,64671,4
195,Brittanys Tacos,001-457-691-115,17,0430 Miller Landing,Angelville,ID,50789,7
196,Kyles Grill,+1-623-501-3803,16,8048 Ho Village,South Danielchester,MI,85014,8
197,Timothys Cafe,624.592.8473x13,3,110 Barnes Gateway Apt. 016,Port Johnborough,WV,18038,2
198,Michaels Bistro,407-867-2670,17,99446 Justin Loaf,West William,CT,39824,6
199,Brians Pizza,001-755-010-541,19,2219 Luna Cliff,East Drewberg,SD,58568,8
200,Seans House,001-460-572-940,18,188 Elizabeth Manors,Jessicachester,MS,63986,8
201,Michaels Bistro,254-386-5507,4,477 Shirley Prairie Suite 001,Isaacburgh,WY,55381,9
202,Timothys Cafe,(097)743-2647x9,7,28129 Doris Freeway,Port Cesarhaven,ND,22477,8
203,Timothys Cafe,753.005.5672,4,7160 Daniel Fall Apt. 638,Lake Allison,WY,63970,2
204,Sherris Diner,001-746-241-253,6,98494 Carpenter Forks,North Michaelfort,NJ,05962,2
205,Gabrielles Table,(021)275-7431x0,20,8832 Miller Viaduct,Anthonychester,AL,33383,3
206,Samuels Corner,354.092.9753x76,6,661 Hardin Brooks Suite 796,Port Bryan,LA,92962,2
207,Brittanys Tacos,(487)668-1700,1,8832 Gonzalez Ramp,Port Mark,IL,95697,7
208,Kyles Grill,407.746.3471x66,18,851 Day Divide,Hernandezberg,ME,43283,7
209,Kyles Grill,001-507-862-283,15,3029 Ryan Park Suite 547,Lopezberg,NH,71753,4
210,Sherris Diner,512.176.1658x89,11,62480 Daniel Lock Suite 967,New Sonyamouth,KY,85245,7
211,Sherris Diner,201-166-0804x39,4,5295 Alvarado Crossing Suite 272,Port Patricia,WV,15205,6
212,Michaels Bistro,001-571-201-001,2,2429 Anderson Harbors,Lake Meganburgh,CA,51743,2
213,Michaels Bistro,001-069-618-954,5,539 Santos Cliff,West Jesushaven,WI,84593,6
214,Gabrielles Table,181.106.5686,19,8782 Nunez Fall,West Victor,NJ,98134,6
215,Brittanys Tacos,(153)552-5529,7,2762 Randy Brook,Bergville,OH,88541,10
216,Timothys Cafe,6936133614,6,65015 Debbie Orchard Apt. 194,Port Brianna,CA,28954,8
217,Timothys Cafe,913.729.5416,3,8838 Antonio Throughway,Jeremymouth,RI,39998,4
218,Samuels Corner,8420410794,18,2311 Tyler Trafficway Suite 215,Garciatown,VT,22804,8
219,Brittanys Tacos,(598)654-1785,9,5307 Alexander Streets Suite 855,East Nicholeland,NH,92992,2
220,Michaels Bistro,(148)558-6692x9,2,29262 Weber Fort,Alejandroland,AR,71162,5
221,Johns Kitchen,920-438-5309x60,3,551 Michelle Shoals Suite 675,Daniellebury,VA,02898,8
222,Samuels Corner,+1-591-765-3293,4,241 Weeks Radial,East Rachelmouth,IA,45083,1
223,Samuels Corner,+1-530-321-0698,17,802 Briggs Street,North Peterton,MI,26303,9
224,Michaels Bistro,9017150359,10,3265 Abbott Spurs,Roseshire,PA,36684,3
225,Gabrielles Table,001-777-810-604,12,591 Harrell Haven Suite 491,Martinezshire,TN,44790,8
226,Brians Pizza,719-340-0292,18,34321 Holt Harbors Apt. 965,West Cynthia,AL,35566,3
227,Sherris Diner,425.322.4483,6,6874 Dunn Avenue Apt. 450,New Justinbury,PA,92420,4
228,Timothys Cafe,+1-761-645-7015,14,573 Patrick Mills Suite 996,Donaldfurt,SD,40819,6
229,Michaels Bistro,899.259.3087x27,1,94952 Trevor Drive,West Laurabury,WV,24497,10
230,Johns Kitchen,224-774-6131x00,8,15723 Betty Brook Apt. 340,Rodriguezhaven,MS,53928,1
231,Brians Pizza,650.775.5028x21,10,51201 Torres Course,New Hannahtown,CO,07729,10
232,Sherris Diner,051-327-9484,2,4771 Williams Harbors,Kimberlymouth,NE,23610,7
233,Gabrielles Table,177-240-8767x66,17,4154 Mitchell Streets,Garrettstad,OK,16425,1
234,Samuels Corner,(635)769-2062x4,10,51017 Jennifer Brook Apt. 225,Geoffreychester,ID,94799,6
235,Seans House,9753142652,18,1360 Gina Shore,New Jenniferfort,OR,06671,7
236,Michaels Bistro,652.151.0968x36,15,9276 Williams Cape Suite 340,Dennisview,NY,64312,8
237,Kyles Grill,+1-812-764-4316,5,95761 Robert Field Suite 079,Henrychester,WV,13138,4
238,Seans House,(326)139-0566x6,19,93673 Molly Flat Apt. 364,Cohenton,VT,93230,1
239,Samuels Corner,0861052920,16,9592 Angela Lakes,Cindyfurt,NC,22047,4
240,Kyles Grill,(743)871-7937,11,0493 Haney Fields,Daniellefurt,ND,23812,1
241,Sherris Diner,512-510-5097,17,7784 Jason Mountains Suite 529,Michellemouth,MI,05052,7
242,Gabrielles Table,749-197-0732,12,692 Angela Ways,North Deniseburgh,SD,09774,5
243,Brittanys Tacos,4982283594,20,50434 Smith Mountains Suite 590,Gamblemouth,MS,37316,5
244,Gabrielles Table,+1-972-949-0408,18,4843 Stewart Row,Pottsside,RI,42624,3
245,Timothys Cafe,+1-817-207-7188,17,68509 Cunningham Valley Apt. 994,Brendaland,TX,88601,2
246,Seans House,534.872.6604x86,7,967 Kevin Inlet,North Sarahstad,KY,40093,3
247,Gabrielles Table,001-016-910-330,4,735 Hansen Knoll Apt. 738,Adriennebury,IA,03331,2
248,Seans House,781.696.9788,2,2594 Caldwell Squares Suite 650,Taraville,PA,90815,5
249,Sherris Diner,(021)044-6412,8,6696 Tyler Park,Robinsonside,PA,49847,7
250,Timothys Cafe,(354)436-1940x6,2,67674 Villa Divide,Dennisland,OK,63066,2
251,Timothys Cafe,921-709-8865x86,7,4335 Woods Vista,South Melinda,OK,40845,5
252,Gabrielles Table,666-282-0460x52,5,97686 Hull Pike Apt. 190,Lake Matthewfurt,OH,44826,8
253,Seans House,+1-963-929-2125,10,1358 Reginald Junction,New Michaelton,NY,92277,7
254,Seans House,311.796.5456,7,909 Robert Islands Suite 194,North Michaelberg,FL,19730,9
255,Seans House,001-055-690-373,5,9510 Lane Land Apt. 935,Jamestown,UT,57881,4
256,Brians Pizza,7346768285,20,81612 Higgins Springs Apt. 157,Floresfurt,IA,07619,5
257,Samuels Corner,+1-156-597-3186,18,9810 Rios Place Suite 898,Cherylmouth,DE,50968,3
258,Brittanys Tacos,522.504.6996,7,85289 Sanchez Inlet Suite 416,Porterfurt,AL,74508,1
259,Samuels Corner,+1-727-978-3344,19,2545 Wright Route,Alexanderport,NY,12303,2
260,Johns Kitchen,572.993.0657x69,12,8371 Sarah Station,Lake Joshuaburgh,AZ,96432,7
261,Michaels Bistro,256.750.3436x28,9,5206 Lee Island Apt. 691,Moralestown,MN,49631,6
262,Michaels Bistro,7852433805,5,3725 Prince Ports,Phillipville,ME,58321,5
263,Michaels Bistro,956.113.0259,20,39735 Alexandria Creek,Youngstad,FL,89940,3
264,Seans House,554-201-2169,14,66568 Williams Burgs,New Justin,TN,09668,4
265,Michaels Bistro,(673)507-8739x0,3,68042 Jessica Plains,Matthewview,NJ,22125,6
266,Brittanys Tacos,972.887.8228x32,18,57600 George Brooks,Beardton,OK,86406,7
267,Michaels Bistro,(662)941-7422x8,9,426 Tran Crossroad,Lake Anthonyburgh,NM,59600,8
268,Brians Pizza,(632)733-6269x1,9,60087 Anthony Orchard,New Thomas,WA,41418,8
269,Brittanys Tacos,(440)977-9491x1,13,3632 Baker Ridges Apt. 843,Rachelburgh,GA,36417,9
270,Brittanys Tacos,4634975007,6,7632 Aaron Hills,Delgadostad,GA,12248,3
271,Samuels Corner,125-512-0499,13,86662 Kathryn Row,East Alan,ND,60973,7
272,Sherris Diner,(640)050-7020x2,15,491 Kevin Route Suite 264,Josephview,GA,15524,6
273,Timothys Cafe,(433)827-2072,3,59963 Barber Motorway Suite 278,Lake Margaretland,WI,52568,10
274,Brians Pizza,186-339-1238x94,9,3785 Calvin Radial Suite 588,New Richardside,AK,55242,7
275,Gabrielles Table,+1-150-219-1580,14,23022 Morgan Lock Apt. 298,New Thomas,NY,39581,1
276,Kyles Grill,001-015-935-769,5,530 Jack Lodge Apt. 535,East Kellymouth,OH,95412,9
277,Sherris Diner,001-806-173-307,18,04513 Wagner Run Suite 014,New Patrick,HI,70470,10
278,Kyles Grill,001-754-122-303,7,2386 Elizabeth Inlet Apt. 813,Graystad,SD,91280,4
279,Brians Pizza,607-634-5955x87,3,010 Alex Hills,South Ryanshire,WV,26895,2
280,Seans House,130-524-4076,9,4253 Linda Track Suite 300,Lake Charles,RI,52517,10
281,Gabrielles Table,689-262-8015x56,7,6556 White Wall Suite 781,East Matthewport,IL,78286,10
282,Timothys Cafe,475-584-5983,12,0894 John Tunnel Apt. 903,Kelseyhaven,ME,92767,3
283,Michaels Bistro,+1-978-290-8649,19,51943 Jason Radial,Lake Christinafurt,MT,43816,6
