EmployeePositionID,EmpID,PositionID,HiredDate
87,849,2,2017-11-29
88,644,9,2014-05-24
89,780,8,2012-05-05
90,562,2,2011-10-20
91,47,1,2020-02-15
92,144,10,2021-03-11
93,674,7,2019-08-07
94,443,9,2019-06-09
95,2,6,2019-08-08
96,173,7,2017-08-17
97,735,5,2011-04-24
98,632,3,2017-09-23
99,257,6,2013-12-19
100,277,8,2020-07-24
101,151,1,2019-05-18
102,667,7,2011-07-03
103,893,9,2012-10-21
104,829,1,2010-08-06
105,878,3,2013-08-04
106,46,7,2011-12-10
107,821,10,2017-03-15
108,239,4,2020-09-10
109,993,4,2011-03-27
110,93,2,2019-02-15
111,363,6,2011-08-31
112,934,5,2011-05-06
113,544,3,2013-06-30
114,615,4,2012-12-17
115,999,1,2015-07-08
116,782,7,2011-07-22
117,144,1,2012-07-21
118,341,1,2018-10-07
119,534,3,2020-09-24
120,288,4,2019-11-29
121,626,1,2010-07-16
122,862,3,2018-09-01
123,892,9,2020-09-19
124,18,7,2019-08-04
125,480,6,2014-08-03
126,196,6,2017-07-09
127,865,1,2015-07-09
128,320,6,2013-01-14
129,158,3,2013-05-23
130,42,3,2014-06-14
131,233,5,2020-11-27
132,99,2,2012-10-05
133,578,2,2017-12-24
134,762,5,2013-06-26
135,451,3,2011-08-10
136,681,1,2013-02-04
137,471,7,2018-06-29
138,483,7,2021-08-04
139,293,8,2016-05-19
140,546,1,2021-07-01
141,448,2,2018-03-31
142,472,6,2019-04-16
143,372,2,2014-12-13
144,625,5,2021-03-03
145,375,6,2011-11-18
146,979,10,2011-11-12
147,972,10,2016-06-01
148,117,3,2013-06-01
149,673,1,2016-12-27
150,317,2,2014-04-27
151,69,7,2010-06-26
152,526,7,2010-11-25
153,921,4,2010-08-25
154,436,4,2015-06-29
155,756,9,2020-03-04
156,274,3,2017-07-20
157,931,3,2015-07-06
158,704,3,2013-05-01
159,536,3,2015-06-17
160,739,5,2011-08-23
161,163,1,2014-08-25
162,207,1,2013-03-19
163,4,6,2015-10-29
164,513,4,2019-10-23
165,535,10,2017-09-23
166,773,3,2021-04-07
167,742,3,2018-07-11
168,133,3,2018-07-10
169,860,1,2014-09-06
170,621,6,2012-11-04
171,328,7,2020-09-26
172,806,3,2015-10-14
173,657,1,2012-04-26
174,533,2,2021-01-04
175,895,10,2014-07-11
176,406,1,2021-02-22
177,714,2,2019-04-05
178,527,2,2017-09-06
179,826,4,2011-08-10
180,961,5,2017-08-24
181,284,9,2014-09-19
182,109,5,2021-09-30
183,585,4,2013-02-16
184,431,4,2010-12-04
185,163,10,2012-02-12
186,251,2,2012-03-16
187,663,4,2016-03-01
188,785,4,2010-09-06
189,226,3,2018-09-13
190,173,6,2017-12-02
191,995,3,2013-09-02
192,913,9,2019-08-07
193,440,7,2018-10-24
194,32,2,2016-07-26
195,755,4,2014-02-16
196,659,3,2019-09-02
197,370,4,2019-12-26
198,740,10,2014-12-10
199,562,5,2018-04-10
200,386,6,2011-06-06
201,734,7,2013-03-29
202,638,5,2020-12-10
203,775,6,2014-02-08
204,287,3,2016-04-09
205,170,4,2017-02-01
206,471,5,2017-09-30
207,431,3,2014-12-13
208,859,9,2015-08-02
209,493,7,2020-12-19
210,300,5,2018-03-13
211,951,5,2018-10-19
212,529,10,2017-01-16
213,215,8,2018-08-28
214,102,7,2020-07-11
215,870,1,2019-03-19
216,455,3,2015-11-02
217,198,5,2021-11-12
218,717,10,2019-11-25
219,3,9,2021-06-20
220,394,7,2016-08-01
221,413,7,2019-07-21
222,187,4,2013-08-01
223,864,5,2013-09-11
224,605,3,2016-04-01
225,219,1,2016-06-17
226,673,10,2018-03-31
227,990,6,2012-09-12
228,658,4,2010-06-27
229,937,7,2016-11-18
230,698,8,2019-02-15
231,89,8,2013-02-05
232,381,4,2017-01-23
233,95,5,2010-02-17
234,832,10,2019-04-09
235,543,9,2012-11-27
236,946,6,2019-05-24
237,915,3,2017-05-02
238,818,10,2018-08-05
239,783,8,2021-12-22
240,93,4,2017-06-27
241,480,6,2012-06-18
242,554,7,2013-03-17
243,513,2,2011-03-21
244,154,6,2019-06-17
245,302,3,2012-11-01
246,798,7,2020-01-13
247,151,7,2019-05-17
248,908,6,2021-01-15
249,391,6,2014-01-09
250,844,10,2015-03-11
251,371,2,2017-03-02
252,842,5,2010-06-28
253,349,8,2019-11-21
254,577,7,2014-11-01
255,320,3,2015-10-10
256,425,6,2016-01-16
257,638,4,2013-02-08
258,562,9,2011-08-21
259,608,1,2012-12-09
260,857,10,2012-06-22
261,24,7,2016-10-03
262,956,7,2019-10-21
263,431,5,2018-04-30
264,951,2,2010-02-05
265,157,5,2014-03-05
266,242,8,2013-04-22
267,137,6,2014-05-24
268,472,4,2016-07-25
269,743,4,2021-01-25
270,148,7,2020-05-08
271,226,10,2010-02-21
272,670,6,2016-06-08
273,486,3,2017-09-26
274,122,5,2021-01-19
275,462,8,2020-05-26
276,640,5,2013-01-26
277,515,7,2018-05-19
278,969,7,2012-08-10
279,594,6,2021-08-28
280,28,4,2016-07-14
281,156,6,2011-03-02
282,906,4,2020-04-17
283,176,9,2010-07-18
284,234,10,2014-07-26
285,483,7,2015-03-01
286,696,3,2021-11-18
287,848,10,2013-01-02
288,587,9,2012-02-06
289,58,6,2016-07-25
290,37,4,2020-02-27
291,726,3,2013-03-25
292,833,5,2015-06-14
293,816,4,2014-05-01
294,782,7,2019-12-23
295,439,8,2013-07-02
296,324,10,2011-04-05
297,844,3,2016-01-19
298,280,5,2017-02-07
299,894,2,2011-06-09
300,819,6,2018-11-08
301,732,8,2020-12-13
302,556,2,2018-12-23
303,643,3,2019-12-27
304,654,8,2010-04-07
305,459,7,2018-11-14
306,57,4,2014-06-03
307,688,9,2019-02-17
308,910,4,2014-12-05
309,566,6,2013-02-25
310,288,5,2021-09-01
311,830,4,2019-07-25
312,478,5,2014-07-01
313,458,7,2010-02-05
314,595,9,2012-07-13
315,331,6,2011-07-06
316,721,9,2013-02-07
317,266,7,2013-05-26
318,73,4,2010-08-10
319,643,10,2011-02-06
320,811,1,2021-08-14
321,456,7,2016-07-21
322,431,2,2021-04-16
323,509,7,2016-01-08
324,322,9,2012-11-02
325,322,3,2018-09-12
326,208,5,2015-09-05
327,608,10,2014-07-26
328,538,8,2014-08-04
329,80,10,2014-10-07
330,839,4,2019-06-27
331,900,10,2020-02-15
332,886,10,2018-07-19
333,558,9,2010-07-07
334,554,2,2021-06-05
335,640,7,2013-09-25
336,702,2,2019-02-04
337,41,6,2021-03-09
338,864,4,2011-12-04
339,464,9,2014-08-22
340,767,2,2018-07-20
341,216,2,2010-03-13
342,474,7,2017-07-11
343,527,9,2015-09-06
344,68,4,2016-06-01
345,362,8,2019-10-03
346,598,2,2012-12-26
347,67,1,2010-07-16
348,329,4,2018-04-23
349,506,1,2019-05-28
350,617,8,2016-04-12
351,60,4,2011-03-02
352,572,8,2012-07-20
353,595,3,2014-03-19
354,310,7,2013-04-07
355,379,1,2015-11-13
356,523,8,2018-04-16
357,624,3,2012-02-06
358,781,1,2014-10-29
359,730,2,2018-05-24
360,643,5,2011-02-13
361,400,9,2010-01-08
362,172,10,2011-09-27
363,415,7,2012-06-06
364,847,8,2017-06-11
365,564,9,2016-07-18
366,216,1,2018-10-13
367,518,9,2012-06-17
368,270,3,2020-08-28
369,564,7,2017-09-27
370,525,5,2021-11-25
371,454,10,2011-05-07
372,421,4,2011-02-04
373,211,2,2014-11-11
374,538,3,2021-10-01
375,24,2,2021-06-06
376,882,5,2010-10-20
377,160,7,2016-05-30
378,983,4,2015-09-23
379,18,10,2011-07-13
380,702,5,2011-05-17
381,491,8,2016-04-27
382,409,7,2011-05-19
383,82,3,2016-02-06
384,155,6,2015-06-06
385,244,5,2011-06-08
386,608,3,2017-10-26
387,409,10,2019-02-06
388,698,3,2018-08-20
389,112,7,2021-06-01
390,185,5,2017-08-16
391,118,6,2011-09-14
392,959,7,2014-10-16
393,647,4,2017-05-28
394,806,4,2014-04-14
395,684,10,2021-09-19
396,618,2,2012-04-24
397,29,8,2016-02-27
398,648,3,2021-07-21
399,871,10,2014-11-15
400,342,10,2020-09-15
401,756,5,2016-12-16
402,91,1,2020-04-10
403,561,4,2017-03-04
404,900,7,2017-11-25
405,827,10,2021-05-05
406,560,5,2011-02-14
407,103,9,2014-06-03
408,159,2,2010-12-11
409,951,2,2010-04-09
410,581,3,2012-04-24
411,663,7,2019-01-17
412,809,7,2021-07-31
413,553,5,2017-02-16
414,536,10,2018-07-22
415,660,8,2016-04-27
416,397,2,2020-01-13
417,868,10,2012-06-20
418,672,7,2020-12-03
419,803,8,2020-02-10
420,781,1,2015-11-19
421,101,7,2010-10-23
422,524,9,2012-01-18
423,786,4,2010-11-01
424,138,4,2013-06-21
425,836,6,2020-05-17
426,828,4,2012-04-21
427,28,10,2019-01-30
428,665,2,2021-10-28
429,848,1,2014-07-31
430,501,2,2020-11-06
431,8,7,2012-04-22
432,938,2,2019-10-12
433,412,3,2012-02-05
434,398,6,2012-05-24
435,733,10,2018-03-16
436,779,1,2021-07-28
437,871,2,2018-09-24
438,989,7,2019-07-08
439,611,4,2021-08-09
440,38,10,2019-06-23
441,895,10,2012-07-13
442,122,5,2011-11-29
443,49,10,2020-07-17
444,466,1,2018-08-24
445,601,2,2019-11-02
446,136,4,2017-12-28
447,225,4,2021-09-10
448,493,4,2014-07-13
449,799,5,2014-06-20
450,151,5,2013-08-02
451,604,4,2019-04-14
452,569,8,2011-06-22
453,148,7,2020-09-08
454,397,8,2010-12-08
455,567,4,2017-03-13
456,622,5,2010-08-19
457,915,9,2017-06-19
458,237,2,2014-08-26
459,230,5,2018-05-30
460,282,1,2014-04-03
461,928,10,2015-09-25
462,724,9,2017-12-30
463,524,5,2011-07-03
464,679,2,2017-10-19
465,953,1,2019-06-19
466,870,2,2017-05-04
467,448,7,2019-11-12
468,678,8,2013-05-13
469,312,10,2018-04-16
470,623,4,2015-07-16
471,924,1,2018-03-07
472,466,2,2015-05-16
473,944,5,2015-07-21
474,48,9,2021-06-03
475,249,2,2013-08-29
476,731,2,2016-05-01
477,324,7,2013-07-28
478,46,1,2018-09-13
479,431,5,2018-12-23
480,503,10,2013-03-09
481,336,10,2012-02-12
482,472,2,2020-07-01
483,524,1,2020-10-23
484,629,1,2017-07-08
485,424,5,2010-12-21
486,883,3,2011-06-30
487,532,1,2017-05-29
488,802,3,2016-01-02
489,748,9,2019-07-17
490,886,9,2019-08-06
491,231,7,2020-11-16
492,998,7,2014-09-01
493,196,2,2010-02-05
494,347,7,2014-07-17
495,363,9,2010-02-22
496,708,1,2013-05-27
497,457,2,2021-07-24
498,14,10,2017-08-25
499,820,10,2014-08-03
500,499,1,2013-07-14
501,453,4,2020-05-12
502,242,5,2014-01-04
503,758,3,2020-09-28
504,104,2,2018-08-14
505,785,4,2019-08-24
506,175,5,2014-12-24
507,861,9,2015-09-21
508,825,6,2017-02-07
509,674,5,2011-07-25
510,921,9,2018-04-28
511,901,5,2011-05-17
512,224,3,2013-09-10
513,103,1,2017-03-05
514,331,4,2012-10-27
515,338,6,2021-08-13
516,349,4,2018-04-25
517,648,2,2016-09-22
518,44,7,2019-07-26
519,698,1,2012-05-22
520,865,8,2015-05-09
521,787,10,2010-02-06
522,326,2,2020-06-23
523,451,8,2014-04-10
524,693,10,2010-03-04
525,927,2,2020-08-01
526,34,4,2012-10-21
527,367,9,2010-03-07
528,131,7,2020-03-30
529,660,1,2015-01-08
530,96,2,2013-09-29
531,538,6,2020-11-07
532,490,8,2020-08-28
533,633,2,2020-07-10
534,618,2,2020-03-23
535,692,8,2012-08-07
536,899,2,2012-09-17
537,757,4,2021-03-30
538,228,3,2016-07-24
539,529,2,2013-02-22
540,281,10,2017-02-26
541,728,5,2012-11-16
542,842,1,2020-10-13
543,287,3,2021-04-21
544,270,5,2018-09-30
545,46,8,2014-06-14
546,319,1,2010-01-09
547,377,3,2011-05-19
548,522,9,2010-03-12
549,551,9,2019-12-05
550,215,2,2011-11-11
551,108,5,2013-04-14
552,996,2,2011-08-23
553,79,2,2011-01-29
554,319,3,2013-03-05
555,66,9,2016-04-01
556,316,8,2013-02-27
557,910,5,2014-05-04
558,495,6,2016-08-15
559,974,3,2016-07-05
560,53,8,2020-12-18
561,668,2,2014-11-10
562,942,10,2011-03-01
563,719,4,2017-10-28
564,105,7,2020-11-04
565,771,8,2020-01-11
566,157,9,2020-07-14
567,959,6,2012-02-09
568,233,8,2019-08-01
569,664,7,2012-09-12
570,813,5,2020-08-25
571,331,7,2012-06-06
572,872,4,2018-06-09
573,51,10,2018-03-08
574,204,2,2019-09-30
575,411,4,2017-11-06
576,549,9,2018-12-11
577,455,2,2019-01-12
578,117,1,2020-03-18
579,333,8,2019-02-14
580,643,5,2016-08-21
581,769,10,2010-11-30
582,403,2,2018-06-21
583,839,7,2021-10-02
584,957,2,2015-04-06
585,796,10,2014-05-15
586,547,5,2016-06-13
587,617,3,2015-12-20
588,77,4,2010-05-12
589,762,3,2010-05-24
590,39,2,2018-03-23
591,597,6,2013-06-01
592,655,5,2013-08-15
593,449,1,2016-04-25
594,900,2,2013-02-07
595,894,4,2018-07-09
596,462,2,2018-03-06
597,633,6,2014-05-27
598,458,4,2020-04-17
599,551,6,2014-06-29
600,55,1,2014-02-02
601,895,7,2012-11-07
602,904,10,2011-12-24
603,146,7,2011-09-15
604,238,3,2015-10-18
605,655,7,2015-06-21
606,997,2,2010-04-19
607,310,7,2020-04-15
608,824,9,2010-06-24
609,797,5,2018-02-12
610,643,6,2016-05-19
611,274,6,2020-09-22
612,366,3,2015-06-16
613,437,6,2019-06-14
614,525,3,2011-02-15
615,299,8,2012-07-23
616,270,5,2017-07-03
617,422,2,2021-01-20
618,1000,1,2012-07-25
619,485,3,2011-11-08
620,589,6,2017-05-17
621,830,5,2010-11-01
622,301,8,2012-02-27
623,26,2,2010-12-26
624,937,8,2011-07-22
625,780,10,2018-11-26
626,238,9,2013-05-25
627,840,10,2019-05-26
628,791,10,2010-03-15
629,434,5,2010-09-09
630,744,9,2021-04-21
631,877,9,2010-09-25
632,438,6,2013-01-07
633,977,7,2019-01-01
634,306,7,2017-10-27
635,834,10,2014-09-08
636,23,5,2015-11-14
637,68,9,2020-07-06
638,443,10,2017-07-17
639,224,10,2020-03-22
640,961,4,2014-07-24
641,138,1,2014-12-13
642,628,1,2017-02-23
643,327,6,2016-06-25
644,492,2,2021-05-21
645,224,10,2021-03-23
646,777,6,2014-08-23
647,511,7,2018-01-13
648,519,8,2021-01-13
649,678,6,2012-01-02
650,214,7,2014-03-12
651,890,4,2012-06-02
652,122,6,2016-05-12
653,364,6,2019-01-14
654,597,9,2020-08-02
655,968,5,2012-01-18
656,511,3,2015-08-28
657,375,3,2018-08-16
658,464,8,2015-06-10
659,724,2,2021-05-02
660,940,8,2019-04-08
661,165,3,2018-09-09
662,616,7,2016-05-12
663,932,7,2015-05-21
664,721,3,2013-06-30
665,686,6,2010-07-07
666,151,7,2014-08-29
667,679,6,2012-01-21
668,450,1,2021-02-05
669,240,5,2013-02-10
670,107,7,2019-02-22
671,522,1,2019-06-30
672,403,8,2018-03-08
673,985,1,2013-04-13
674,573,1,2021-08-18
675,793,2,2013-03-09
676,761,5,2016-12-17
677,214,5,2018-10-24
678,728,2,2017-06-21
679,39,4,2015-12-02
680,140,1,2013-09-25
681,579,7,2021-03-04
682,850,9,2012-11-18
683,91,7,2016-07-04
684,340,3,2010-01-22
685,573,5,2010-11-19
686,378,1,2010-10-09
687,944,9,2013-03-03
688,723,8,2010-06-20
689,678,2,2018-10-10
690,312,1,2011-02-11
691,658,1,2011-12-09
692,168,7,2016-10-27
693,842,7,2018-06-16
694,233,9,2010-05-24
695,233,10,2017-03-03
696,180,1,2011-12-06
697,308,5,2010-07-17
698,93,2,2017-07-31
699,385,8,2016-04-11
700,876,3,2014-09-04
701,755,9,2013-03-19
702,382,3,2021-02-11
703,71,1,2012-07-27
704,564,8,2018-12-27
705,356,7,2014-07-21
706,642,3,2011-04-13
707,757,4,2014-06-12
708,261,9,2015-04-05
709,551,2,2017-03-08
710,254,2,2019-06-10
711,598,6,2014-11-14
712,444,3,2018-07-22
713,817,3,2014-07-03
714,399,4,2010-04-16
715,25,3,2012-01-03
716,970,9,2011-04-22
717,478,3,2011-04-11
718,933,3,2010-11-05
719,213,3,2011-03-06
720,308,9,2021-10-21
721,299,3,2015-04-08
722,814,5,2011-06-25
723,394,1,2019-12-12
724,867,9,2021-09-08
725,483,5,2012-07-22
726,727,8,2010-01-30
727,261,6,2016-12-12
728,399,3,2021-12-04
729,181,9,2011-01-03
730,745,4,2013-11-22
731,126,6,2021-10-24
732,354,10,2015-03-05
733,761,10,2017-07-14
734,648,10,2016-04-01
735,587,5,2011-06-13
736,366,1,2017-07-08
737,558,1,2014-01-12
738,291,5,2011-02-19
739,666,2,2015-03-01
740,85,1,2011-02-09
741,944,9,2015-11-21
742,643,5,2014-12-13
743,499,8,2019-12-13
744,275,10,2019-05-11
745,759,2,2019-07-12
746,955,4,2011-12-27
747,946,6,2015-06-10
748,952,2,2019-05-14
749,625,2,2018-11-01
750,118,4,2013-10-27
751,435,6,2021-12-21
752,66,1,2010-07-22
753,453,6,2021-06-25
754,4,4,2011-11-06
755,345,6,2013-02-23
756,14,8,2013-01-28
757,972,3,2019-08-17
758,166,3,2021-08-30
759,920,9,2011-07-02
760,170,10,2017-10-28
761,79,3,2016-10-18
762,526,1,2020-04-17
763,681,7,2015-10-02
764,97,5,2020-04-09
765,415,2,2010-01-31
766,579,6,2017-10-17
767,566,8,2014-12-10
768,74,9,2011-08-27
769,662,1,2011-12-25
770,855,10,2010-10-25
771,966,8,2017-10-28
772,294,9,2014-10-04
773,913,4,2015-06-27
774,102,1,2010-03-10
775,234,3,2019-09-15
776,807,9,2021-02-25
777,782,1,2014-07-20
778,308,2,2020-01-17
779,858,1,2021-04-20
780,281,5,2016-07-05
781,684,2,2013-02-16
782,492,10,2012-02-15
783,396,5,2012-10-19
784,716,6,2016-12-01
785,911,4,2013-02-20
786,60,5,2019-06-21
787,723,2,2015-03-22
788,605,10,2020-08-22
789,262,6,2019-02-26
790,837,3,2017-12-26
791,576,9,2010-08-24
792,209,2,2012-04-30
793,711,5,2019-02-05
794,499,5,2020-11-23
795,831,8,2019-08-01
796,461,9,2020-09-28
797,295,7,2012-03-16
798,27,8,2021-06-02
799,754,5,2021-02-09
800,132,3,2020-09-26
801,606,9,2018-12-06
802,830,1,2012-10-23
803,737,3,2021-11-27
804,881,2,2014-11-11
805,129,9,2019-03-06
806,549,9,2015-04-19
807,415,10,2019-09-13
808,296,4,2021-10-18
809,681,1,2018-01-07
810,653,7,2010-07-21
811,248,4,2011-12-21
812,995,6,2018-11-23
813,207,8,2013-08-15
814,790,9,2020-04-25
815,957,1,2019-01-03
816,30,4,2013-11-09
817,832,8,2013-07-25
818,156,9,2014-02-16
819,435,10,2019-07-15
820,985,2,2019-09-12
821,874,3,2019-10-04
822,650,2,2019-12-16
823,357,4,2021-07-18
824,993,10,2021-07-19
825,956,8,2010-04-02
826,768,5,2014-05-15
827,31,4,2020-01-15
828,589,7,2018-11-27
829,744,10,2011-12-03
830,662,10,2018-11-12
831,600,1,2017-04-15
832,394,6,2013-10-16
833,725,6,2014-03-15
834,839,9,2010-01-06
835,192,6,2020-05-27
836,120,6,2016-07-15
837,572,8,2015-06-05
838,913,6,2017-02-17
839,194,10,2012-05-19
840,426,10,2013-01-15
841,387,5,2017-04-03
842,464,1,2017-08-28
843,471,9,2020-09-09
844,127,5,2020-10-09
845,615,3,2020-06-05
846,765,10,2013-06-01
847,387,1,2019-09-24
848,426,7,2017-03-28
849,424,10,2021-02-15
850,446,7,2018-07-12
851,976,10,2016-08-24
852,80,1,2010-07-24
853,2,5,2014-03-20
854,143,6,2018-04-14
855,321,3,2021-12-08
856,765,9,2010-07-21
857,404,10,2017-02-10
858,938,9,2010-08-29
859,247,7,2011-08-17
860,285,1,2016-07-11
861,179,7,2012-10-19
862,831,2,2019-11-21
863,973,1,2012-06-14
864,944,7,2018-09-10
865,33,6,2017-05-24
866,138,7,2020-10-30
867,813,8,2014-03-24
868,870,4,2011-07-28
869,859,4,2013-02-13
870,132,8,2017-11-27
871,137,5,2018-11-22
872,697,6,2017-11-14
873,716,8,2012-01-31
874,226,1,2021-12-26
875,276,2,2021-12-14
876,629,7,2019-11-25
877,603,6,2011-10-20
878,558,3,2012-07-24
879,41,8,2016-12-01
880,75,7,2021-10-15
881,922,2,2019-08-12
882,214,4,2010-11-19
883,743,7,2011-04-05
884,449,9,2018-02-05
885,996,2,2010-12-24
886,434,5,2010-02-05
887,568,10,2014-02-13
888,227,9,2015-11-16
889,913,1,2016-01-19
890,432,3,2014-01-22
891,500,6,2021-09-23
892,367,4,2020-01-12
893,633,1,2021-01-07
894,759,9,2017-11-03
895,17,5,2020-05-21
896,97,4,2011-02-12
897,486,8,2015-03-24
898,885,7,2010-05-17
899,464,10,2013-03-03
900,630,10,2014-05-27
901,74,3,2010-05-28
902,336,10,2012-10-08
903,154,7,2012-04-12
904,651,5,2013-05-13
905,312,5,2017-08-16
906,283,5,2010-04-19
907,834,8,2011-06-07
908,414,8,2021-05-17
909,124,3,2018-10-12
910,281,6,2010-10-23
911,301,1,2021-01-24
912,28,9,2016-03-04
913,632,5,2013-11-01
914,169,3,2010-07-08
915,217,4,2019-01-03
916,252,3,2017-09-24
917,796,5,2013-05-07
918,879,3,2014-01-24
919,359,4,2013-08-20
920,65,5,2015-02-04
921,469,9,2014-03-29
922,312,1,2019-02-25
923,872,1,2014-09-24
924,405,5,2012-09-02
925,930,2,2010-05-09
926,370,8,2018-08-16
927,445,3,2013-10-09
928,903,5,2010-12-09
929,315,2,2010-04-22
930,144,6,2021-03-07
931,890,6,2014-05-22
932,829,4,2010-06-12
933,386,7,2013-01-19
934,834,10,2015-11-14
935,54,2,2013-11-16
936,113,6,2018-08-20
937,563,9,2019-07-02
938,393,6,2013-02-11
939,253,6,2015-10-28
940,502,8,2020-02-14
941,770,5,2018-02-25
942,132,10,2015-05-14
943,389,1,2020-07-13
944,224,7,2016-06-19
945,69,3,2010-07-23
946,582,8,2017-04-29
947,599,10,2021-02-05
948,802,7,2012-01-24
949,769,1,2016-03-19
950,366,3,2016-11-04
951,753,5,2018-10-09
952,927,3,2018-03-30
953,659,6,2019-02-25
954,391,8,2021-02-15
955,916,1,2015-09-26
956,628,4,2011-02-12
957,649,4,2018-07-14
958,343,4,2021-01-21
959,365,3,2014-09-03
960,597,10,2018-02-12
961,777,6,2016-10-25
962,162,10,2015-09-05
963,655,5,2018-05-11
964,188,6,2014-11-28
965,498,3,2015-09-15
966,702,4,2017-05-29
967,450,2,2011-06-22
968,385,6,2016-04-18
969,872,9,2018-07-17
970,902,3,2019-08-17
971,270,9,2019-05-25
972,832,7,2017-12-09
973,95,4,2021-07-13
974,306,1,2014-06-16
975,623,5,2016-01-02
976,47,1,2021-05-13
977,27,3,2014-06-13
978,222,10,2016-08-27
979,950,7,2015-02-17
980,879,7,2017-12-03
981,992,3,2019-08-16
982,812,10,2013-08-03
983,942,10,2019-05-05
984,834,2,2021-02-03
985,561,8,2014-11-04
986,332,3,2019-09-27
987,3,2,2018-10-14
988,997,8,2016-09-21
989,184,5,2021-08-11
990,761,3,2017-01-09
991,821,10,2015-05-23
992,343,3,2013-06-17
993,352,3,2010-08-29
994,66,1,2020-05-02
995,747,5,2020-08-08
996,740,2,2018-03-09
997,214,7,2021-10-06
998,852,8,2020-07-25
999,960,9,2010-02-07
1000,801,3,2021-05-23
